Resource ID,Disaster ID,Resource Type,Quantity,Cost (USD),Deployment Date,Location,Status
R-5043,D-1582,Medical Kits,18,10178.98,5/13/2022,Ratnagiri,Allocated
R-5044,D-1046,Rescue Equipment,741,41352.0,4/25/2009,Ratnagiri,Allocated
R-5045,D-2654,Clothing,787,2623.61,9/26/2017,Solapur,Allocated
R-5046,D-2433,Water,218,20784.63,9/7/2018,Satara,Used
R-5047,D-2406,Rescue Equipment,823,7574.69,11/16/2023,Nagpur,Pending
R-5048,D-1671,Food,362,13794.6,2/9/2017,Satara,Used
R-5049,D-1039,Medical Kits,306,36670.4,12/15/2016,Mumbai,Used
R-5050,D-2414,Rescue Equipment,558,22579.69,7/26/2013,Ratnagiri,Allocated
R-5051,D-1996,Medical Kits,703,13736.69,2/16/2014,Nagpur,Used
R-5052,D-2324,Clothing,513,21283.61,7/19/2009,Kolhapur,Allocated
R-5053,D-1348,Medical Kits,304,19232.47,5/22/2019,Nashik,Allocated
R-5054,D-2717,Clothing,437,37513.18,12/28/2008,Kolhapur,Used
R-5055,D-1839,Shelter,347,13444.77,5/7/2013,Satara,Allocated
R-5056,D-2932,Food,457,45444.27,1/20/2023,Thane,Allocated
R-5057,D-2088,Water,596,8659.03,10/29/2022,Kolhapur,Used
R-5058,D-1756,Shelter,74,13611.6,11/1/2004,Ratnagiri,Used
R-5059,D-1958,Clothing,107,22132.04,2/29/2012,Ratnagiri,Allocated
R-5060,D-1292,Shelter,579,27468.48,11/14/2004,Pune,Allocated
R-5061,D-2850,Food,68,40152.33,3/7/2020,Ratnagiri,Allocated
R-5062,D-1276,Shelter,704,1512.99,7/22/2006,Pune,Pending
R-5063,D-1248,Food,614,26494.42,4/22/2013,Solapur,Used
R-5064,D-2007,Food,130,19284.99,9/8/2017,Aurangabad,Allocated
R-5065,D-1789,Food,887,38027.16,6/7/2005,Ratnagiri,Pending
R-5066,D-2506,Clothing,640,6895.86,3/8/2005,Kolhapur,Allocated
R-5067,D-2565,Medical Kits,732,34124.11,10/24/2022,Kolhapur,Used
R-5068,D-1914,Rescue Equipment,72,9888.35,11/10/2014,Pune,Pending
R-5069,D-1738,Food,378,19440.62,2/16/2016,Solapur,Pending
R-5070,D-2683,Clothing,487,24104.93,9/12/2018,Kolhapur,Allocated
R-5071,D-2889,Water,916,4433.93,1/22/2019,Thane,Used
R-5072,D-1986,Rescue Equipment,728,14753.06,4/27/2017,Aurangabad,Used
R-5073,D-1854,Clothing,658,7576.3,1/13/2023,Kolhapur,Pending
R-5074,D-2751,Medical Kits,249,11113.63,9/12/2019,Kolhapur,Used
R-5075,D-2995,Medical Kits,54,5972.7,5/8/2022,Kolhapur,Allocated
R-5076,D-2981,Shelter,321,6003.35,6/21/2021,Mumbai,Allocated
R-5077,D-2089,Clothing,379,11641.32,7/20/2022,Mumbai,Pending
R-5078,D-2587,Food,264,49500.66,6/16/2013,Solapur,Used
R-5079,D-1006,Medical Kits,916,44173.72,4/4/2010,Aurangabad,Pending
R-5080,D-1579,Shelter,488,41798.54,4/4/2005,Ratnagiri,Pending
R-5081,D-2214,Medical Kits,531,32580.19,10/21/2013,Kolhapur,Used
R-5082,D-2210,Shelter,252,12347.63,7/28/2014,Solapur,Allocated
R-5083,D-2228,Clothing,307,14174.27,8/6/2013,Kolhapur,Pending
R-5084,D-2356,Clothing,813,2494.45,11/14/2005,Aurangabad,Used
R-5085,D-2653,Food,588,37064.32,11/4/2020,Ratnagiri,Pending
R-5086,D-2609,Clothing,110,2742.69,11/21/2021,Nagpur,Used
R-5087,D-2983,Water,280,23907.55,11/19/2016,Mumbai,Allocated
R-5088,D-2704,Water,379,42674.35,4/6/2023,Ratnagiri,Used
R-5089,D-1809,Clothing,586,41555.89,9/20/2007,Aurangabad,Used
R-5090,D-1820,Clothing,205,24769.58,8/4/2011,Nagpur,Allocated
R-5091,D-2898,Medical Kits,325,41591.62,1/14/2010,Nashik,Allocated
R-5092,D-1203,Clothing,696,1754.32,7/29/2011,Mumbai,Used
R-5093,D-1559,Food,277,32382.24,4/23/2022,Nashik,Used
R-5094,D-2259,Shelter,942,33511.89,10/8/2008,Nagpur,Pending
R-5095,D-2812,Medical Kits,747,34552.91,8/21/2015,Thane,Used
R-5096,D-1544,Shelter,792,32334.21,5/23/2014,Pune,Used
R-5097,D-2703,Rescue Equipment,391,48069.97,7/29/2004,Thane,Allocated
R-5098,D-1910,Water,241,3277.16,5/25/2010,Pune,Used
R-5099,D-1797,Clothing,589,38564.07,7/6/2020,Thane,Allocated
R-5100,D-2140,Food,303,10677.07,11/12/2021,Ratnagiri,Allocated
R-5101,D-2858,Clothing,564,2442.45,12/31/2020,Mumbai,Used
R-5102,D-1119,Shelter,48,45398.65,12/3/2017,Ratnagiri,Pending
R-5103,D-1635,Shelter,771,12785.09,7/1/2012,Ratnagiri,Pending
R-5104,D-2007,Clothing,630,44886.35,1/26/2013,Pune,Used
R-5105,D-1807,Clothing,434,15620.54,11/8/2010,Thane,Allocated
R-5106,D-1438,Medical Kits,776,20210.42,9/13/2016,Kolhapur,Allocated
R-5107,D-1837,Food,616,37187.66,3/21/2007,Nashik,Used
R-5108,D-2425,Food,485,13757.28,12/19/2021,Nashik,Pending
R-5109,D-2725,Clothing,189,41021.16,2/24/2022,Solapur,Allocated
R-5110,D-2095,Clothing,751,31096.92,3/3/2014,Solapur,Allocated
R-5111,D-1313,Medical Kits,503,32079.03,4/15/2021,Satara,Used
R-5112,D-2626,Food,659,45818.84,5/11/2016,Aurangabad,Used
R-5113,D-1683,Rescue Equipment,841,9413.49,7/17/2005,Aurangabad,Used
R-5114,D-2845,Food,677,48842.02,10/8/2007,Mumbai,Used
R-5115,D-1176,Food,907,26722.89,3/7/2011,Aurangabad,Pending
R-5116,D-2466,Water,641,7089.3,5/2/2019,Satara,Allocated
R-5117,D-1639,Water,570,36239.16,1/13/2020,Thane,Pending
R-5118,D-2614,Rescue Equipment,276,3462.12,3/9/2009,Solapur,Pending
R-5119,D-1395,Food,661,38255.68,3/13/2017,Aurangabad,Pending
R-5120,D-2810,Medical Kits,436,47216.53,4/28/2014,Ratnagiri,Allocated
R-5121,D-2239,Food,700,46346.01,5/29/2008,Satara,Pending
R-5122,D-1863,Water,331,40262.81,9/13/2014,Mumbai,Used
R-5123,D-1323,Water,766,11306.53,11/29/2006,Satara,Pending
R-5124,D-2450,Medical Kits,208,23986.34,12/1/2018,Aurangabad,Used
R-5125,D-1685,Food,271,49377.56,5/17/2021,Nagpur,Pending
R-5126,D-2589,Shelter,931,20382.92,5/25/2016,Kolhapur,Used
R-5127,D-1483,Food,170,26955.31,10/1/2007,Pune,Used
R-5128,D-1691,Water,375,48096.8,3/24/2021,Solapur,Used
R-5129,D-2655,Food,831,28706.24,1/11/2014,Aurangabad,Pending
R-5130,D-2760,Shelter,361,43816.11,3/30/2013,Kolhapur,Allocated
R-5131,D-2281,Medical Kits,193,18986.91,9/23/2004,Ratnagiri,Used
R-5132,D-2354,Food,479,36607.6,11/22/2019,Mumbai,Pending
R-5133,D-1537,Clothing,860,2493.1,3/8/2013,Nagpur,Allocated
R-5134,D-1506,Food,304,16297.16,8/24/2021,Nagpur,Pending
R-5135,D-2812,Rescue Equipment,607,27632.4,10/20/2011,Nashik,Allocated
R-5136,D-2135,Clothing,894,45336.58,6/5/2013,Nagpur,Allocated
R-5137,D-1896,Shelter,372,30403.31,9/14/2012,Nashik,Allocated
R-5138,D-2188,Shelter,263,20891.42,12/22/2022,Pune,Used
R-5139,D-2391,Water,732,3497.17,6/27/2004,Pune,Used
R-5140,D-2212,Food,860,9771.94,7/22/2016,Nagpur,Pending
R-5141,D-1202,Clothing,728,42323.18,8/30/2005,Solapur,Allocated
R-5142,D-2440,Water,841,7258.96,10/2/2017,Nagpur,Pending
R-5143,D-2529,Rescue Equipment,390,24178.59,9/20/2016,Satara,Pending
R-5144,D-2594,Water,290,11558.63,11/7/2023,Mumbai,Used
R-5145,D-2247,Medical Kits,114,36543.93,1/22/2008,Pune,Pending
R-5146,D-1132,Food,67,42304.56,6/7/2009,Satara,Allocated
R-5147,D-1823,Shelter,577,17814.87,10/12/2006,Nagpur,Pending
R-5148,D-2114,Medical Kits,487,40038.91,9/22/2021,Aurangabad,Allocated
R-5149,D-1423,Shelter,709,1679.39,2/26/2004,Nashik,Used
R-5150,D-1486,Rescue Equipment,141,25192.27,4/25/2015,Ratnagiri,Used
R-5151,D-1271,Food,55,29008.25,5/25/2011,Ratnagiri,Allocated
R-5152,D-2861,Shelter,440,13922.72,4/5/2011,Kolhapur,Used
R-5153,D-2905,Medical Kits,930,38375.33,12/3/2005,Satara,Used
R-5154,D-1841,Rescue Equipment,771,38834.68,4/1/2011,Aurangabad,Allocated
R-5155,D-2058,Clothing,849,13765.48,8/3/2007,Thane,Pending
R-5156,D-1566,Food,88,808.88,12/25/2006,Thane,Allocated
R-5157,D-1703,Shelter,448,3691.2,3/19/2012,Nagpur,Used
R-5158,D-2335,Clothing,385,9465.85,8/24/2014,Kolhapur,Allocated
R-5159,D-1608,Rescue Equipment,538,109.91,6/15/2008,Kolhapur,Pending
R-5160,D-1647,Rescue Equipment,183,27097.74,12/21/2018,Nashik,Used
R-5161,D-1283,Medical Kits,400,47723.5,12/29/2006,Ratnagiri,Allocated
R-5162,D-1144,Water,198,9588.9,3/18/2009,Solapur,Allocated
R-5163,D-2621,Rescue Equipment,44,46962.95,11/22/2009,Ratnagiri,Pending
R-5164,D-1281,Water,782,36742.26,6/10/2019,Kolhapur,Pending
R-5165,D-2984,Rescue Equipment,970,42574.97,11/16/2022,Satara,Pending
R-5166,D-1062,Food,210,3484.59,1/11/2016,Kolhapur,Allocated
R-5167,D-1460,Medical Kits,270,7912.35,9/18/2008,Nashik,Used
R-5168,D-1180,Rescue Equipment,538,21074.42,6/4/2012,Nashik,Used
R-5169,D-2900,Water,121,39712.02,8/19/2017,Mumbai,Used
R-5170,D-2426,Shelter,116,18527.02,12/16/2006,Ratnagiri,Used
R-5171,D-1114,Clothing,991,30276.64,5/27/2006,Nagpur,Pending
R-5172,D-1467,Water,797,34623.06,3/2/2010,Solapur,Allocated
R-5173,D-1603,Water,640,34531.5,4/27/2013,Solapur,Pending
R-5174,D-2695,Shelter,410,43282.73,8/25/2015,Pune,Pending
R-5175,D-1864,Shelter,449,34978.49,10/12/2022,Solapur,Used
R-5176,D-2580,Water,405,41164.08,5/11/2006,Thane,Allocated
R-5177,D-1430,Water,469,49034.89,9/26/2011,Nashik,Used
R-5178,D-1774,Medical Kits,615,45000.45,1/24/2018,Thane,Allocated
R-5179,D-1861,Rescue Equipment,599,32288.41,6/28/2021,Pune,Used
R-5180,D-2451,Shelter,634,6826.15,7/31/2021,Nashik,Used
R-5181,D-2506,Rescue Equipment,797,20560.44,3/6/2005,Kolhapur,Allocated
R-5182,D-1900,Medical Kits,21,5589.39,12/7/2021,Kolhapur,Pending
R-5183,D-2478,Rescue Equipment,225,1520.32,4/25/2005,Thane,Allocated
R-5184,D-2485,Water,427,10039.5,11/18/2007,Aurangabad,Allocated
R-5185,D-2757,Shelter,243,42206.53,11/29/2005,Thane,Allocated
R-5186,D-2550,Food,622,41594.65,9/26/2021,Pune,Used
R-5187,D-2131,Rescue Equipment,436,7783.54,3/3/2013,Satara,Allocated
R-5188,D-1093,Water,298,5600.09,2/7/2023,Aurangabad,Allocated
R-5189,D-1031,Medical Kits,108,34746.0,3/6/2017,Aurangabad,Used
R-5190,D-2426,Clothing,681,45561.13,6/25/2006,Nashik,Allocated
R-5191,D-2584,Clothing,643,30806.95,6/2/2021,Aurangabad,Pending
R-5192,D-1902,Medical Kits,172,47109.41,9/12/2014,Ratnagiri,Pending
R-5193,D-2694,Rescue Equipment,99,28165.44,8/29/2004,Aurangabad,Allocated
R-5194,D-2485,Rescue Equipment,492,47633.0,5/17/2017,Ratnagiri,Pending
R-5195,D-2747,Water,186,32376.95,1/9/2005,Mumbai,Allocated
R-5196,D-1060,Clothing,885,1409.39,5/13/2006,Pune,Allocated
R-5197,D-1451,Clothing,428,19094.24,8/1/2020,Nagpur,Used
R-5198,D-2201,Water,124,775.89,1/14/2015,Ratnagiri,Used
R-5199,D-2538,Clothing,730,44865.08,10/4/2015,Ratnagiri,Pending
R-5200,D-1595,Food,804,8060.56,4/12/2012,Kolhapur,Pending
R-5201,D-2300,Food,622,34841.94,6/2/2018,Nagpur,Pending
R-5202,D-1495,Clothing,983,8897.29,9/4/2016,Solapur,Pending
R-5203,D-2552,Medical Kits,737,8383.48,7/15/2023,Solapur,Used
R-5204,D-1101,Clothing,931,26732.84,6/1/2012,Nashik,Pending
R-5205,D-1385,Water,288,8639.97,7/17/2008,Thane,Allocated
R-5206,D-1513,Rescue Equipment,937,38830.91,6/29/2016,Mumbai,Used
R-5207,D-2555,Medical Kits,337,25917.43,11/19/2013,Nagpur,Allocated
R-5208,D-2831,Medical Kits,566,15957.99,10/12/2018,Ratnagiri,Allocated
R-5209,D-2723,Rescue Equipment,844,18419.74,10/10/2018,Pune,Used
R-5210,D-2320,Rescue Equipment,637,45828.44,2/17/2021,Pune,Pending
R-5211,D-1747,Rescue Equipment,212,20350.66,1/23/2012,Nashik,Pending
R-5212,D-1210,Shelter,352,14694.49,11/14/2010,Nagpur,Used
R-5213,D-2982,Food,943,9681.93,8/25/2018,Nashik,Allocated
R-5214,D-1518,Water,126,15137.85,1/12/2011,Pune,Pending
R-5215,D-1138,Clothing,862,22633.71,7/5/2007,Mumbai,Allocated
R-5216,D-1188,Medical Kits,973,33724.83,9/1/2022,Kolhapur,Pending
R-5217,D-2195,Shelter,406,10336.09,2/5/2019,Ratnagiri,Allocated
R-5218,D-1732,Food,259,7601.5,9/6/2021,Pune,Allocated
R-5219,D-2341,Food,445,44697.49,4/14/2008,Pune,Allocated
R-5220,D-2807,Shelter,726,17229.62,6/27/2004,Aurangabad,Allocated
R-5221,D-1129,Shelter,825,16643.24,10/31/2023,Mumbai,Allocated
R-5222,D-2974,Food,62,34976.26,12/28/2016,Nagpur,Allocated
R-5223,D-1000,Medical Kits,614,13545.45,4/30/2007,Ratnagiri,Pending
R-5224,D-2459,Clothing,353,32084.57,3/11/2009,Nashik,Used
R-5225,D-1457,Shelter,743,13347.7,6/10/2006,Mumbai,Pending
R-5226,D-2299,Water,304,17469.39,11/2/2009,Satara,Pending
R-5227,D-1391,Food,965,12295.58,12/22/2010,Nashik,Pending
R-5228,D-1529,Rescue Equipment,600,9198.85,6/18/2017,Thane,Used
R-5229,D-2164,Shelter,947,42923.44,9/7/2012,Ratnagiri,Allocated
R-5230,D-1431,Shelter,162,39229.21,6/3/2021,Nagpur,Pending
R-5231,D-1215,Clothing,667,528.1,6/1/2012,Aurangabad,Used
R-5232,D-2524,Water,615,45055.16,2/27/2011,Mumbai,Used
R-5233,D-1110,Clothing,511,27498.21,8/28/2015,Pune,Allocated
R-5234,D-1254,Food,316,47556.67,6/6/2009,Solapur,Pending
R-5235,D-1637,Rescue Equipment,467,31743.34,11/14/2020,Ratnagiri,Allocated
R-5236,D-1875,Clothing,376,37963.66,1/2/2007,Satara,Used
R-5237,D-1825,Clothing,529,30573.91,8/11/2015,Satara,Allocated
R-5238,D-1022,Shelter,412,11226.8,1/8/2005,Nagpur,Allocated
R-5239,D-1618,Medical Kits,410,14715.3,12/25/2014,Nashik,Pending
R-5240,D-1337,Rescue Equipment,201,44267.73,11/8/2009,Kolhapur,Used
R-5241,D-2937,Food,360,35538.05,2/14/2010,Satara,Used
R-5242,D-2699,Water,259,343.11,3/6/2017,Pune,Pending
R-5243,D-2055,Rescue Equipment,229,29715.66,4/20/2015,Pune,Used
R-5244,D-1621,Rescue Equipment,296,20936.5,12/6/2012,Nagpur,Used
R-5245,D-2048,Food,174,7564.41,2/3/2018,Pune,Used
R-5246,D-1280,Water,680,16760.26,10/20/2010,Thane,Allocated
R-5247,D-2523,Shelter,589,7904.82,8/13/2011,Solapur,Allocated
R-5248,D-1551,Water,721,20300.11,2/20/2017,Pune,Allocated
R-5249,D-2967,Clothing,85,43580.99,9/29/2020,Ratnagiri,Used
R-5250,D-2606,Water,494,31468.72,6/27/2017,Nagpur,Pending
R-5251,D-2967,Medical Kits,287,22131.48,1/29/2014,Pune,Pending
R-5252,D-2660,Food,438,23326.1,5/8/2023,Satara,Used
R-5253,D-1905,Food,538,2193.48,6/9/2017,Pune,Used
R-5254,D-1925,Medical Kits,923,46362.78,5/7/2020,Pune,Allocated
R-5255,D-1634,Medical Kits,171,2952.33,10/24/2012,Pune,Pending
R-5256,D-2479,Clothing,212,10023.89,9/4/2016,Pune,Allocated
R-5257,D-1472,Food,367,27983.75,8/6/2008,Ratnagiri,Pending
R-5258,D-2459,Water,541,18115.18,5/19/2017,Satara,Used
R-5259,D-1910,Food,484,17436.36,1/6/2004,Ratnagiri,Used
R-5260,D-2092,Water,604,25803.13,5/9/2021,Solapur,Used
R-5261,D-2806,Water,851,3379.37,11/19/2020,Solapur,Used
R-5262,D-2668,Shelter,342,5218.82,1/21/2009,Satara,Allocated
R-5263,D-2897,Water,731,43137.83,5/31/2010,Solapur,Allocated
R-5264,D-2394,Clothing,539,30798.99,5/3/2022,Thane,Used
R-5265,D-1748,Shelter,203,13046.9,5/3/2020,Thane,Pending
R-5266,D-2588,Rescue Equipment,655,31471.44,12/27/2004,Solapur,Allocated
R-5267,D-2346,Shelter,562,6008.57,4/20/2011,Satara,Pending
R-5268,D-2331,Shelter,994,41109.41,8/9/2009,Solapur,Pending
R-5269,D-1969,Food,929,4727.1,11/11/2018,Nashik,Pending
R-5270,D-2454,Rescue Equipment,817,15296.44,10/9/2007,Aurangabad,Pending
R-5271,D-1606,Food,693,3870.4,3/16/2004,Kolhapur,Used
R-5272,D-2456,Rescue Equipment,417,29036.65,3/23/2011,Satara,Pending
R-5273,D-1513,Water,370,46081.53,2/13/2012,Ratnagiri,Allocated
R-5274,D-1702,Medical Kits,752,42958.32,11/2/2006,Nashik,Allocated
R-5275,D-1178,Medical Kits,715,7695.41,6/12/2021,Ratnagiri,Allocated
R-5276,D-2219,Shelter,526,34380.75,6/26/2016,Nashik,Used
R-5277,D-1176,Shelter,818,36007.03,1/26/2023,Solapur,Pending
R-5278,D-1093,Food,862,4980.38,12/5/2004,Solapur,Pending
R-5279,D-1155,Food,75,24111.0,10/5/2022,Nashik,Allocated
R-5280,D-1613,Rescue Equipment,91,22252.02,1/10/2004,Ratnagiri,Allocated
R-5281,D-1121,Food,981,12597.66,9/20/2007,Satara,Pending
R-5282,D-1239,Rescue Equipment,297,2920.34,4/27/2017,Pune,Pending
R-5283,D-2202,Water,725,20943.92,11/13/2005,Satara,Used
R-5284,D-1131,Shelter,959,32455.37,1/7/2010,Pune,Allocated
R-5285,D-1119,Medical Kits,53,34972.06,5/1/2012,Aurangabad,Pending
R-5286,D-2167,Food,285,22939.32,8/8/2020,Nagpur,Pending
R-5287,D-1494,Water,254,29426.36,3/5/2022,Thane,Used
R-5288,D-1231,Medical Kits,163,28824.8,5/10/2017,Pune,Allocated
R-5289,D-2604,Rescue Equipment,128,11966.8,2/14/2015,Solapur,Pending
R-5290,D-2515,Shelter,424,37652.41,2/11/2010,Nagpur,Allocated
R-5291,D-2838,Medical Kits,877,41570.52,8/25/2011,Pune,Allocated
R-5292,D-1465,Medical Kits,897,13444.0,8/1/2014,Nagpur,Allocated
R-5293,D-2320,Medical Kits,477,16379.98,7/28/2014,Mumbai,Pending
R-5294,D-1292,Water,794,25559.68,12/6/2014,Nagpur,Allocated
R-5295,D-2729,Medical Kits,940,44882.46,4/30/2018,Mumbai,Used
R-5296,D-1328,Shelter,676,22700.73,6/10/2016,Thane,Pending
R-5297,D-1344,Rescue Equipment,349,42417.44,10/12/2016,Nashik,Allocated
R-5298,D-2402,Medical Kits,458,42568.54,7/20/2015,Pune,Allocated
R-5299,D-2294,Clothing,259,3526.63,7/10/2013,Aurangabad,Pending
R-5300,D-2558,Shelter,220,39049.64,4/24/2020,Nashik,Pending
R-5301,D-1081,Food,181,25716.74,11/29/2021,Ratnagiri,Allocated
R-5302,D-2455,Shelter,951,3820.55,8/27/2017,Aurangabad,Allocated
R-5303,D-1124,Water,469,45085.96,5/6/2005,Satara,Used
R-5304,D-1544,Clothing,425,14222.05,5/2/2012,Nashik,Allocated
R-5305,D-1967,Rescue Equipment,928,31327.39,7/28/2014,Thane,Used
R-5306,D-2241,Shelter,859,623.39,9/1/2019,Ratnagiri,Used
R-5307,D-2240,Clothing,89,43484.74,10/27/2008,Satara,Used
R-5308,D-1389,Food,779,34165.47,3/26/2018,Nagpur,Used
R-5309,D-1275,Clothing,727,6301.84,12/8/2011,Nashik,Allocated
R-5310,D-1942,Rescue Equipment,388,9835.92,6/4/2009,Ratnagiri,Pending
R-5311,D-1646,Water,757,31968.0,11/27/2004,Satara,Pending
R-5312,D-2323,Clothing,178,38137.08,6/12/2006,Kolhapur,Used
R-5313,D-1526,Shelter,161,5546.87,2/8/2018,Ratnagiri,Allocated
R-5314,D-1901,Rescue Equipment,594,38324.31,6/8/2019,Pune,Used
R-5315,D-2031,Clothing,419,2862.95,5/24/2011,Satara,Pending
R-5316,D-1898,Rescue Equipment,851,14276.49,11/28/2005,Kolhapur,Pending
R-5317,D-2373,Food,484,16470.21,3/25/2023,Pune,Used
R-5318,D-1494,Medical Kits,253,16594.3,7/20/2004,Solapur,Allocated
R-5319,D-2435,Food,936,20864.04,3/11/2017,Satara,Allocated
R-5320,D-2253,Rescue Equipment,872,31876.49,4/9/2006,Mumbai,Allocated
R-5321,D-2983,Medical Kits,937,42656.48,2/4/2021,Thane,Allocated
R-5322,D-2890,Rescue Equipment,712,36827.98,11/8/2017,Pune,Used
R-5323,D-2646,Food,863,8270.82,5/16/2011,Aurangabad,Pending
R-5324,D-2140,Medical Kits,878,28224.95,1/27/2014,Satara,Used
R-5325,D-2564,Food,727,19489.82,3/21/2004,Pune,Allocated
R-5326,D-1925,Clothing,966,15458.48,3/27/2010,Nagpur,Pending
R-5327,D-1418,Rescue Equipment,567,17111.58,7/19/2022,Nagpur,Allocated
R-5328,D-1709,Shelter,745,43693.8,6/24/2006,Mumbai,Used
R-5329,D-2114,Clothing,163,33220.36,3/31/2020,Ratnagiri,Pending
R-5330,D-1756,Shelter,504,12732.66,11/11/2019,Solapur,Pending
R-5331,D-1391,Clothing,930,19740.21,3/8/2009,Pune,Pending
R-5332,D-2340,Rescue Equipment,18,6094.63,12/1/2023,Aurangabad,Used
R-5333,D-2938,Medical Kits,722,36812.78,2/17/2020,Mumbai,Used
R-5334,D-2032,Rescue Equipment,880,31419.51,11/10/2016,Nashik,Allocated
R-5335,D-2665,Food,313,43654.6,1/15/2015,Kolhapur,Pending
R-5336,D-1970,Water,201,25470.95,7/1/2012,Pune,Used
R-5337,D-1078,Water,543,42593.44,4/2/2012,Kolhapur,Used
R-5338,D-1759,Medical Kits,151,28885.45,4/25/2005,Satara,Used
R-5339,D-2420,Food,879,35253.23,8/9/2013,Mumbai,Allocated
R-5340,D-2136,Water,139,22205.73,10/19/2018,Kolhapur,Used
R-5341,D-2957,Food,614,28559.27,7/21/2005,Pune,Used
R-5342,D-1939,Medical Kits,19,27407.13,6/14/2012,Satara,Pending
R-5343,D-1650,Shelter,865,35301.74,3/23/2023,Nagpur,Pending
R-5344,D-1590,Water,988,4025.22,2/17/2022,Nashik,Pending
R-5345,D-1986,Clothing,224,17958.68,7/5/2010,Thane,Used
R-5346,D-2728,Shelter,369,26753.66,7/20/2011,Aurangabad,Pending
R-5347,D-2272,Rescue Equipment,223,43702.93,7/25/2022,Nagpur,Pending
R-5348,D-2447,Water,462,32533.06,3/23/2023,Mumbai,Pending
R-5349,D-2694,Medical Kits,205,2058.07,3/24/2004,Ratnagiri,Pending
R-5350,D-1039,Food,944,846.48,7/11/2009,Kolhapur,Used
R-5351,D-1854,Shelter,386,24860.43,2/18/2017,Mumbai,Used
R-5352,D-2406,Water,922,245.44,2/8/2010,Thane,Allocated
R-5353,D-1337,Rescue Equipment,228,24116.63,2/26/2011,Nashik,Used
R-5354,D-1830,Medical Kits,695,12160.75,6/8/2010,Solapur,Pending
R-5355,D-2718,Water,82,36825.93,3/2/2014,Aurangabad,Allocated
R-5356,D-2969,Food,159,11124.94,11/26/2017,Pune,Pending
